,userID,subscribers,channeltype
0,PewDiePie,90210848,Entertainment
1,T-Series,90194329,Music
2,Gaming,81888222,Games
3,YouTube Movies,77413743,Film
4,Sports,75622870,Sports
5,5-Minute Crafts,52039165,Howto
6,Canal KondZilla,47785398,Music
7,SET India,43974122,Entertainment
8,Justin Bieber,43878072,Entertainment
9,Cocomelon - Nursery Rhymes,40551419,Education
10,Dude Perfect,40202277,Sports
11,HolaSoyGerman.,38503519,Entertainment
12,Ed Sheeran,37683352,Music
13,Badabun,37292948,Entertainment
14,whinderssonnunes,35123697,Comedy
15,Ariana Grande`,34044586,Music
16,News,33992470,
17,JustinBieberVEVO,33770169,Music
18,Zee Music Company,33090848,Music
19,Katy Perry,32641073,Entertainment
20,Fernanfloo,32393658,Games
21,Rihanna,31492974,Entertainment
22,Marshmello,31451636,Music
23,Felipe Neto,31355944,Entertainment
24,TheEllenShow,31338665,Entertainment
25,Popular on YouTube,29803590,Games
26,YouTube,28009035,News
27,TaylorSwiftVEVO,27679085,Music
28,EminemVEVO,26338163,Music
29,KatyPerryVEVO,26319021,Music
30,RihannaVEVO,26296627,Music
31,VEGETTA777,26160012,Games
32,Trap Nation,25617837,Music
33,Zee TV,25451192,Entertainment
34,Maroon 5,24795239,Music
35,Luis Fonsi,24598214,Entertainment
36,BRIGHT SIDE,24547659,Howto
37,VanossGaming,24323495,Games
38,Bruno Mars,24296338,Music
39,Smosh,24168806,Comedy
40,Sony Music India,24026890,Music
41,Movieclips,23912506,Film
42,Yuya,23501019,Howto
43,OneDirectionVEVO,23172454,Music
44,Voc� Sabia?,23099626,Entertainment
45,rezendeevil,22756174,Entertainment
46,[????] ToyPudding TV,22745819,Entertainment
47,ChuChu TV Nursery Rhymes & Kids�,22624029,Education
48,GR6 EXPLODE,22448166,Music
49,BillionSurpriseToys - Nursery�,22438752,Education
50,Luisito Comunica,22368894,Comedy
51,Alan Walker,22328931,Music
52,ibighit,22089490,Music
53,? Kids Diana Show,21887636,Entertainment
54,Ninja,21759421,Games
55,jacksepticeye,21734897,Games
56,Speed Records,21662675,Music
57,shane,21245806,Comedy
58,NoCopyrightSounds,21123917,Music
59,Selena Gomez,20752656,Film
60,J Balvin,20371997,Music
61,The Tonight Show Starring Jimmy�,20323868,Comedy
62,El Reino Infantil,20272228,Music
63,Like Nastya Vlog,20260198,People
64,BLACKPINK,20177528,People
65,Daddy Yankee,20111083,Music
66,KSI,20108741,Entertainment
67,WORLDSTARHIPHOP,20094259,Music
68,David Guetta,20031301,Music
69,SonyMusicIndiaVEVO,19905287,Music
70,shakiraVEVO,19412733,Music
71,JennaMarbles,19401558,Comedy
72,Maluma,18956717,Music
73,ArianaGrandeVevo,18897200,Music
74,Logan Paul Vlogs,18850921,Entertainment
75,The Late Late Show with James�,18712067,Entertainment
76,Ryan ToysReview,18664546,Entertainment
77,BuzzFeedVideo,18609118,People
78,Skrillex,18597928,Music
79,Nicki Minaj,18450682,Music
80,LuisFonsiVEVO,18382658,Music
81,LosPolinesios,18360676,People
82,CanalCanalha,18303161,Comedy
83,Jake Paul,18261239,People
84,Vevo,18188791,Music
85,The Chainsmokers,17943272,Music
86,Wiz Khalifa,17758541,Music
87,TEDx Talks,17651308,Nonprofit
88,Ultra Music,17550409,Music
89,Collins Key,17336317,Entertainment
90,T-Series Bhakti Sagar,17245661,Music
91,Enrique Iglesias,17238027,Music
92,Tips Official,17202428,Music
93,Vlad and Nikita,17152376,
94,Kimberly Loaiza,17087598,People
95,ImagineDragons,17065955,Music
96,Bad Bunny,16826524,Music
97,DrossRotzank,16776543,Entertainment
98,AuthenticGames,16711960,Games
99,Liza Koshy,16668809,Comedy
100,Pinkfong! Kids' Songs & Stories,16508092,Education
101,PopularMMOs,16367966,Games
102,Aaj Tak,16323633,News
103,BANGTANTV,16238069,Music
104,Ali-A,16234127,Games
105,MrBeast,16183853,Games
106,AdeleVEVO,16064917,Music
107,Calvin Harris,16019313,Music
108,Galinha Pintadinha,15946720,Film
109,GENIAL,15863053,Howto
110,1theK (????),15776179,Music
111,ChrisBrownTV,15759403,Music
112,Maroon5VEVO,15525250,Music
113,SelenaGomezVEVO,15472807,Music
114,TheWillyrex,15437444,Games
115,T-Series Apna Punjab,15435070,Music
116,Juan De Dios Pantoja,15285849,People
117,James Charles,15239480,Entertainment
118,Roman Atwood Vlogs,15211605,People
119,The Weeknd,15194705,Music
120,Good Mythical Morning,15166128,Entertainment
121,CaELiKe,15148005,Entertainment
122,GMM GRAMMY OFFICIAL,15146618,Music
123,Demi Lovato,15135315,Entertainment
124,Lucas and Marcus,14977125,Entertainment
125,Lil pump,14952192,Music
126,MalumaVEVO,14933802,Music
127,Shemaroo,14880123,Entertainment
128,one31,14617276,News
129,AuronPlay,14592471,Comedy
130,1MILLION Dance Studio,14578228,Entertainment
131,FailArmy,14530319,Comedy
132,IISuperwomanII,14516149,Comedy
133,ERB,14399322,Entertainment
134,Charlie Puth,14350082,Music
135,Willyrex,14280039,Games
136,Vsauce,14276229,Entertainment
137,EeOneGuy,14155297,Entertainment
138,Pop Music - Topic,14147968,Games
139,DJ Snake,14135635,Music
140,Brave Wilderness,14124524,Animals
141,Coldplay,14069185,Music
142,Rclbeauty101,14043917,Comedy
143,Cia. Daniel Saboya,13932226,Music
144,Jimmy Kimmel Live,13928957,Entertainment
145,jbalvinVEVO,13910095,Music
146,Lele Pons,13905151,Comedy
147,Unbox Therapy,13904321,Tech
148,jeffreestar,13792620,Howto
149,Linkin Park,13733988,Music
150,Gaane Sune Ansune,13695665,Music
151,EnriqueIglesiasVEVO,13678085,Music
152,Beyonc�VEVO,13600886,Music
153,JukiLop,13566308,
154,Totoykids,13419188,Film
155,Wengie,13408655,Howto
156,NickiMinajAtVEVO,13373424,Music
157,Tasty,13348952,People
158,netd m�zik,13295102,Music
159,Guava Juice,13287141,Entertainment
160,TED,13124227,Tech
161,BB Ki Vines,13017599,Entertainment
162,HowToBasic,13001875,Howto
163,Miss Katy,12950496,People
164,Lady Gaga,12933375,Music
165,Cyprien,12900594,Comedy
166,Renato Garcia,12822637,Entertainment
167,Atta Halilintar,12769767,Entertainment
168,Venus,12714512,Music
169,SQUEEZIE,12707790,Comedy
170,officialpsy,12688042,Music
171,Erlania e Valentina,12662629,Film
172,CalvinHarrisVEVO,12659287,Music
173,ChrisBrownVEVO,12594266,Music
174,ExtraPolinesios,12572613,People
175,Becky G,12518280,Music
176,Boyce Avenue,12514257,Music
177,La Granja de Zen�n,12502970,Music
178,Mr Bean,12487018,Comedy
179,AM3NlC,12478691,People
180,Troom Troom,12406280,Howto
181,Romeo Santos,12383188,Music
182,Rajshri,12372807,Entertainment
183,Musas,12365821,Howto
184,Like Nastya,12290238,Entertainment
185,Stacy Toys,12275551,
186,ChainsmokersVEVO,12230955,Music
187,Miley Cyrus,12224175,Entertainment
188,The Slow Mo Guys,12190813,Entertainment
189,Reaction Time,12181503,Entertainment
190,5-Minute Crafts GIRLY,12177203,Howto
191,Technical Guruji,12066121,Tech
192,Mister Max,12035339,Entertainment
193,DisneyMusicVEVO,12020991,Music
194,DemiLovatoVEVO,12004905,Music
195,Britain's Got Talent,11963008,Entertainment
196,Major Lazer,11960967,Music
197,Las Ratitas,11943048,People
198,5-Minute Crafts KIDS,11901649,Howto
199,Manual do Mundo,11847324,Tech
200,Zoella,11845560,Howto
201,ABP NEWS,11820271,News
202,Kids TV - Nursery Rhymes And Baby�,11790536,Education
203,CKN Toys,11789573,Entertainment
204,IGN,11773561,Games
205,Pitbull,11713938,Music
206,NikkieTutorials,11704836,Howto
207,FaZe Rug,11669354,Games
208,???? ???? ????? |�,11613765,Music
209,H2ODelirious,11602864,Games
210,Sky Does Everything,11601707,Games
211,David Dobrik,11556003,People
212,Little Mix,11551989,Music
213,Lindsey Stirling,11540895,Music
214,MattyBRaps,11534777,Music
215,Ricis Official,11505892,Entertainment
216,Anitta,11503784,Music
217,AviciiOfficialVEVO,11502641,Music
218,iTownGamePlay *Terror&Diversi�n*,11472890,Entertainment
219,The Game Theorists,11452798,Games
220,DeToxoMoroxo,11379500,Entertainment
221,ShawnMendesVEVO,11362955,Music
222,NORMAN FAIT DES VID�OS,11355982,Comedy
223,Wassabi,11353926,Entertainment
224,Kurt Hugo Schneider,11331174,Entertainment
225,MrSuicideSheep,11320668,Entertainment
226,TV Shows,11311651,Games
227,Hip Hop Music - Topic,11273156,Games
228,CookieSwirlC,11269378,Entertainment
229,NaoFun Toys,11248643,Entertainment
230,TheWeekndVEVO,11221952,Music
231,JFlaMusic,11209545,Music
232,ashish chanchlani vines,11189948,Comedy
233,Fatos Desconhecidos,11185796,Entertainment
234,Lachlan,11127416,Games
235,5incominutos,11110080,Entertainment
236,Makiman131,11097491,Entertainment
237,Dani Russo Tv,11083280,Comedy
238,The King of Random,11052227,Education
239,CaseyNeistat,11050039,People
240,TazerCraft,11047969,Games
241,CrazyRussianHacker,11021311,Tech
242,BIGBANG,10991647,Music
243,NBA,10970510,Sports
244,Minecraft - Topic,10936824,Games
245,SSundee,10921694,Games
246,REACT,10916568,Entertainment
247,TheOdd1sOut,10915615,Comedy
248,Everson Zoio,10830834,Comedy
249,RiceGum,10790382,Entertainment
250,Noor Stars,10773388,Entertainment
251,MileyCyrusVEVO,10712918,Music
252,Baby Big Mouth,10677217,Entertainment
253,RomanAtwood,10628230,Entertainment
254,FGTeeV,10585709,Games
255,ImagineDragonsVEVO,10541195,Music
256,Miranda Sings,10522670,Entertainment
257,Geet MP3,10503567,
258,fouseyTUBE,10481891,Entertainment
259,Jennifer Lopez,10466238,Music
260,EU FICO LOKO,10466025,Comedy
261,Toys AndMe,10436184,Entertainment
262,Hear This Music,10423510,Music
263,SiaVEVO,10420764,Music
264,Tu COSMOPOLIS,10412418,People
265,Enaldinho,10359263,Comedy
266,Bethany Mota,10354644,Howto
267,Turma da M�nica,10352767,Film
268,Paulo Londra,10347099,Music
269,Toys And Little Gaby,10342232,Entertainment
270,#Education,10334917,Games
271,Meghan Trainor,10321544,People
272,Galo Frito,10313712,Comedy
273,ExpCaseros,10309570,Howto
274,Kwebbelkop,10286445,Games
275,FifthHarmonyVEVO,10272988,Music
276,Planeta das G�meas,10263106,Entertainment
277,Sonotek,10241126,Music
278,Dua Lipa,10195886,Music
279,America's Got Talent,10175699,Entertainment
280,Boram Tube ToysReview [????�,10173821,People
281,DLS News,10144446,
282,Toys and Colors,10130333,Education
283,Goldmines,10108716,Film
284,Bart Baker,10079249,Comedy
285,theRadBrad,10076729,Games
286,PitbullVEVO,10041885,Music
287,XpressTV,10015988,Entertainment
288,CaptainSparklez,10014403,Games
289,Mejores Juguetes,9944494,Entertainment
290,SAM SMITH,9939732,Entertainment
291,FitDance,9929078,Music
292,Anuel AA,9911980,Music
293,AdamThomasMoran,9905468,Comedy
294,Enes Batur,9877893,Games
295,VitalyzdTv,9866787,Entertainment
296,Camila Cabello,9865801,Music
297,TheGrefg,9847250,Games
298,DrakeVEVO,9847130,Music
299,Kids Fun,9841511,Entertainment
300,Ray,9820543,Comedy
301,Blossom,9813387,Howto
302,INCR�VEL,9809395,
303,Tfue,9772331,Games
304,Deji,9743169,Music
305,Cardi B,9730073,People
306,F2Freestylers - Ultimate Soccer�,9727210,Sports
307,MrGear,9682253,Tech
308,Gato Galactico,9675738,Music
309,GRAMMY GOLD OFFICIAL,9662633,Music
310,MyLifeAsEva,9650363,Howto
311,Matheus Yurley,9612259,Entertainment
312,Vete a la Versh,9611116,Games
313,Rooster Teeth,9601284,Film
314,elliegoulding,9587115,Music
315,Live,9580146,
316,BCC Trolling,9575472,Games
317,Infinite,9506807,Entertainment
318,???????????,9503448,Entertainment
319,BuzzFeed Multiplayer,9494565,People
320,LEGENDA FUNK,9458605,Music
321,Emily Tube,9452393,Entertainment
322,Katie Angel,9423642,Music
323,Dolan Twins,9418898,Comedy
324,Genevieve's Playhouse - Toy�,9395470,Film
325,zayn,9371581,Music
326,Juanpa Zurita,9364858,Comedy
327,LadyGagaVEVO,9363430,Music
328,InfantiLandia,9356653,Entertainment
329,Invento na Hora,9349291,Entertainment
330,Gibby :),9343266,People
331,Atlantic Records,9315553,Music
332,Coisa de Nerd,9313151,Tech
333,MAIKI021,9301078,Entertainment
334,Primitive Technology,9299287,People
335,Rayito,9278378,Comedy
336,LazarBeam,9277149,Games
337,KBS World TV,9274379,Entertainment
338,Talking Tom,9210068,Comedy
339,??????????�,9182399,Entertainment
340,RomeoSantosVEVO,9128539,Music
341,CrashCourse,9110247,Education
342,BFvsGF,9101138,People
343,Kaykai Salaider,9094574,Entertainment
344,Henrique e Juliano,9078492,Music
345,Antrax,9078061,Entertainment
346,Morgz,9058079,Entertainment
347,Preston,9037082,Games
348,luisitorey,9036126,Entertainment
349,Karolgmusic,9035601,Music
350,stampylonghead,9034712,Games
351,Wesley Safad�o,9012946,Music
352,Avril Lavigne,8993418,Music
353,Joey Graceffa,8990305,People
354,Pina Records,8982049,Music
355,Ami Rodriguez,8975083,Entertainment
356,LaurDIY,8967690,Howto
357,Billie Eilish,8940824,Music
358,StarPlus,8936379,Entertainment
359,Gordon Ramsay,8899908,Entertainment
360,Michelle Phan,8897051,Howto
361,Camila Loures,8886664,Entertainment
362,HellomaphieMX,8876442,Howto
363,SIS vs BRO,8868882,Entertainment
364,Wave Music - Bhojpuri,8828983,Music
365,Conor Maynard,8819326,Music
366,luzugames,8754719,Games
367,Worldwide Records Bhojpuri,8753731,Music
368,The World Adventures�,8742401,People
369,Farruko,8723184,Music
370,Sebasti�n Yatra,8722773,News
371,Bie The Ska,8719412,Entertainment
372,Jorge & Mateus Oficial,8717243,Music
373,MeghanTrainorVEVO,8709570,Music
374,The LaBrant Fam,8704805,People
375,Lyrical Lemonade,8699589,Entertainment
376,twenty one pilots,8697758,Music
377,P!NK,8697446,Music
378,grav3yardgirl,8686590,Howto
379,Marmok,8681926,Games
380,Tanner Fox,8678525,Film
381,CNCO,8672576,Music
382,DalasReview,8653113,Entertainment
383,FactTechz,8648733,Entertainment
384,Funny Stacy,8602353,
385,Dehati India N Masti,8599543,Entertainment
386,RocketJump,8595833,Film
387,LA DIVAZA,8594124,Entertainment
388,Juliana Baltar,8591809,Entertainment
389,#Ref�gio Mental,8580557,Entertainment
390,White Hill Music,8574194,Music
391,Toy Freaks,8547801,Entertainment
392,IDEAS EN 5 MINUTOS,8546263,
393,YosStoP,8534590,Entertainment
394,AsapSCIENCE,8526233,Tech
395,Volga Video,8500150,Entertainment
396,zbing z.,8494739,Games
397,DCTC Toy Channel,8471758,Entertainment
398,Troom Troom Es,8464144,Howto
399,Ya - Alisa,8442789,Entertainment
400,michaeljacksonVEVO,8431950,Music
401,ZarcortGame,8421764,Entertainment
402,Colleen Ballinger,8418400,Entertainment
403,#Refugio Mental,8406958,Entertainment
404,Maria Clara & JP,8400461,People
405,Linus Tech Tips,8389435,Tech
406,Jessie J,8355893,Music
407,Apple,8328919,Tech
408,Red Bull,8316164,Sports
409,Kurzgesagt � In a Nutshell,8304235,Education
410,CinemaSins,8289138,Film
411,littlemixVEVO,8261407,Music
412,Calon Sarjana,8252201,Entertainment
413,Migos ATL,8224997,Music
414,Vijay Television,8205070,Entertainment
415,ThatcherJoe,8189356,Comedy
416,Marques Brownlee,8175838,Tech
417,Programa P�nico,8146247,Entertainment
418,Jingle Toons,8145001,Film
419,TheBrainDit,8033208,Games
420,Haryanvi Maina,8031424,Music
421,FROST,8030085,Games
422,EllieGouldingVEVO,8028317,Music
423,Tauz,8020624,Music
424,�rea Secreta,7991215,People
425,AzzyLand,7974060,Games
426,????? ???????? ?�,7930269,People
427,dangmattsmith,7926886,Comedy
428,Jazzghost,7922481,Games
429,Viih Tube,7918990,People
430,Cut,7903065,Entertainment
431,Liza Koshy Too,7893459,Comedy
432,Miniminter,7882624,Games
433,Saregama Music,7864572,Music
434,PDK,7863537,Entertainment
435,AdMe.ru - ???? ?�,7859007,Entertainment
436,Luan Santana,7844776,Music
437,Chill Nation,7832596,Music
438,????? ??????,7831100,Entertainment
439,Kika Nieto,7827223,Howto
440,Tomorrowland,7809364,Entertainment
441,Niki and Gabi,7741310,Howto
442,Natalies Outlet,7723178,Entertainment
443,Saturday Night Live,7719323,Entertainment
444,Yippee Toys,7693745,Entertainment
445,Karol Sevilla,7659603,Entertainment
446,Muselk,7656746,Games
447,Lil Wayne,7652735,Music
448,BRKsEDU,7648364,Games
449,Peppa Pig - Official Channel,7639433,Film
450,Doc Tops,7638283,Entertainment
451,T3ddy,7623349,Comedy
452,Wow Kidz,7612209,Entertainment
453,Sonotek Haryanvi,7609894,Music
454,Tyler Oakley,7553601,Entertainment
455,PinkVEVO,7552692,Music
456,KHANDESHI MOVIES,7543656,Comedy
457,colinfurze,7538389,Autos
458,RedeTV,7534302,Entertainment
459,HelloMaphie,7532909,Howto
460,Clean Bandit,7526939,Music
461,Lucas Rangel,7502258,Comedy
462,Safiya Nygaard,7484204,People
463,OneRepublic,7484117,Music
464,50 Cent,7479948,Music
465,Caracol Raivoso,7457285,Comedy
466,aLexBY11,7451681,Games
467,emimusic,7450759,Music
468,PlaticaPolinesia,7444760,Comedy
469,Gameplayrj,7433579,Entertainment
470,Caspar,7426015,Entertainment
471,Kim RosaCuca,7417643,Howto
472,Tekashi 6ix9ine,7415806,
473,Matt Stonie,7415124,Entertainment
474,DJ Khaled,7400767,People
475,ABP NEWS HINDI,7397826,
476,GEN HALILINTAR,7353455,Entertainment
477,LipaoGamer,7348239,Games
478,Alena Kids Toys,7327544,Education
479,ATHLEAN-X�,7322737,Howto
480,JenniferLopezVEVO,7305445,Music
481,iDubbbzTV,7300508,Comedy
482,LEGO,7296598,Entertainment
483,Monstercat: Uncaged,7286258,Music
484,Ma�tre GIMS,7274425,Music
485,sTaXxCraft,7271297,Games
486,Neha Kakkar,7266887,Music
487,Zee News,7263596,News
488,emma chamberlain,7254334,Entertainment
489,Rae Sremmurd,7244651,Entertainment
490,YOGSCAST Lewis & Simon,7235884,Games
491,AWE me,7232729,Tech
492,TeamYouTube [Help],7228738,Howto
493,Mo Vlogs,7205978,People
494,Webs & Tiaras - Toy Monster�,7203358,Entertainment
495,The Voice,7196829,Entertainment
496,LetsGoMartin - Nursery Rhymes,7189222,Entertainment
497,HikakinTV,7176791,Entertainment
498,AvrilLavigneVEVO,7163364,Music
499,???? ????,7158767,Howto
500,Denis,7152063,Games
501,Bratayley,7143514,People
